,technologydetails@EconsightEnergyPatent
165,"[ {'technologyName': 'Hydrogen Electrolyzer, Electrolysis, Electrochemical H2 Pump','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0007'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0014'}',{'technologyName': 'Hydrogen Tank','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0007'}',{'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '12','worldClassPatentsInTechnology': ''specialisation': '0.0082'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0007'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': '2'specialisation': '0.0027'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0007'}]"
166,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '8','worldClassPatentsInTechnology': '4'specialisation': '0.0048'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '34','worldClassPatentsInTechnology': '6'specialisation': '0.0205'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '6','worldClassPatentsInTechnology': '3'specialisation': '0.0036'}',{'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': '1'specialisation': '0.0018'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '40','worldClassPatentsInTechnology': '25'specialisation': '0.0241'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': '2'specialisation': '0.0012'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0006'}',{'technologyName': 'Green Hydrogen','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': ''specialisation': '0.0018'}',{'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': ''specialisation': '0.0024'}',{'technologyName': 'Hydrogen Electrolyzer, Electrolysis, Electrochemical H2 Pump','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': ''specialisation': '0.0024'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': ''specialisation': '0.0024'}]"
167,"[ {'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0002'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0005'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0002'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '14','worldClassPatentsInTechnology': '11'specialisation': '0.0033'}]"
168,"[ {'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.004'}]"
169,"[ {'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.004'}',{'technologyName': 'Green Hydrogen','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.004'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': '1'specialisation': '0.0081'}]"
170,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0022'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0043'}]"
171,"[ {'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0004'}',{'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '190','worldClassPatentsInTechnology': '12'specialisation': '0.0852'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0009'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '138','worldClassPatentsInTechnology': '8'specialisation': '0.0619'}',{'technologyName': 'Double Layer Capacitors in Mobility Applications','technologyCode': '','totalPatentsInTechnology': '42','worldClassPatentsInTechnology': '2'specialisation': '0.0188'}',{'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0004'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '5','worldClassPatentsInTechnology': '2'specialisation': '0.0022'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '5','worldClassPatentsInTechnology': ''specialisation': '0.0022'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0004'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '21','worldClassPatentsInTechnology': '2'specialisation': '0.0094'}',{'technologyName': 'Hydrogen Electrolyzer, Electrolysis, Electrochemical H2 Pump','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0004'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '5','worldClassPatentsInTechnology': ''specialisation': '0.0022'}',{'technologyName': 'Hydrogen Tank','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': ''specialisation': '0.0013'}]"
172,
173,
174,"[ {'technologyName': 'Green Hydrogen','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0208'}',{'technologyName': 'Green-Blue Ammonia Production','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0208'}',{'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0417'}',{'technologyName': 'Hydrogen Electrolyzer, Electrolysis, Electrochemical H2 Pump','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0417'}',{'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0417'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '5','worldClassPatentsInTechnology': '2'specialisation': '0.1042'}',{'technologyName': 'Hydrogen Piping, Pipelining, H2 LNG separation','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0208'}]"
175,
176,
177,"[ {'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0526'}]"
178,"[ {'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0017'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0017'}]"
179,"[ {'technologyName': 'Double Layer Capacitors in Mobility Applications','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': ''specialisation': '0.0381'}',{'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0095'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0095'}',{'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '23','worldClassPatentsInTechnology': '1'specialisation': '0.219'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '9','worldClassPatentsInTechnology': '4'specialisation': '0.0857'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '22','worldClassPatentsInTechnology': '1'specialisation': '0.2095'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': '2'specialisation': '0.0286'}]"
180,
181,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '71','worldClassPatentsInTechnology': '10'specialisation': '0.006'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '11','worldClassPatentsInTechnology': ''specialisation': '0.0009'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '35','worldClassPatentsInTechnology': '3'specialisation': '0.003'}',{'technologyName': 'Double Layer Capacitors in Mobility Applications','technologyCode': '','totalPatentsInTechnology': '8','worldClassPatentsInTechnology': ''specialisation': '0.0007'}',{'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '6','worldClassPatentsInTechnology': '1'specialisation': '0.0005'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '5','worldClassPatentsInTechnology': '3'specialisation': '0.0004'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '11','worldClassPatentsInTechnology': '1'specialisation': '0.0009'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '6','worldClassPatentsInTechnology': '4'specialisation': '0.0005'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '6','worldClassPatentsInTechnology': ''specialisation': '0.0005'}',{'technologyName': 'Hydrogen Fueling Stations','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0001'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': '1'specialisation': '0.0003'}]"
182,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0052'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0052'}]"
183,"[ {'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.2'}]"
184,"[ {'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0015'}',{'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '9','worldClassPatentsInTechnology': ''specialisation': '0.0133'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '5','worldClassPatentsInTechnology': ''specialisation': '0.0074'}',{'technologyName': 'Double Layer Capacitors in Mobility Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0015'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0029'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0015'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0029'}]"
185,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0019'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': ''specialisation': '0.0057'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': '1'specialisation': '0.0077'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0019'}',{'technologyName': 'Green Hydrogen','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': '1'specialisation': '0.0038'}',{'technologyName': 'Green-Blue Ammonia Production','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0019'}',{'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '9','worldClassPatentsInTechnology': '2'specialisation': '0.0172'}',{'technologyName': 'Hydrogen Electrolyzer, Electrolysis, Electrochemical H2 Pump','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0038'}',{'technologyName': 'Hydrogen Fueling Stations','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0038'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '14','worldClassPatentsInTechnology': '3'specialisation': '0.0268'}',{'technologyName': 'Hydrogen Piping, Pipelining, H2 LNG separation','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': '1'specialisation': '0.0057'}',{'technologyName': 'Hydrogen Tank','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0038'}]"
